设备序列号 起点 终点 状态码  步行路程(米) 步行耗时(秒)
正方元锦江国际饭店-河南工业大学', '34.76551,113.75021', '34.83330,113.55796', 状态0', '24267', '2281'], 'na na']
正方元锦江国际饭店-郑州大学', '34.76551,113.75021', '34.81414,113.54220', 状态0', '24028', '2194'], 'na na']
正方元锦江国际饭店-郑州工程技术学院', '34.76551,113.75021', '34.86633,113.65609', 状态0', '19195', '2099'], 'na na']
正方元锦江国际饭店-郑州师范学院', '34.76551,113.75021', '34.86471,113.62637', 状态0', '21977', '2086'], 'na na']
正方元锦江国际饭店-郑州市体育馆', '34.76551,113.75021', '34.76295,113.67994', 状态0', '8397', '1418'], 'na na']
正方元锦江国际饭店-郑州市体育场', '34.76551,113.75021', '34.76295,113.67994', 状态0', '8397', '1418'], 'na na']
正方元锦江国际饭店-华北水利水电大学', '34.76551,113.75021', '34.77593,113.76580', 状态0', '3570', '527'], 'na na']
正方元锦江国际饭店-北龙湖', '34.76551,113.75021', '34.81829,113.74043', 状态0', '8334', '1328'], 'na na']
正方元锦江国际饭店-郑州奥体中心体育馆', '34.76551,113.75021', '34.73476,113.54065', 状态0', '25962', '2066'], 'na na']
郑州大酒店-河南工业大学', '34.75518,113.66876', '34.83330,113.55796', 状态0', '19061', '2347'], 'na na']
郑州大酒店-郑州大学', '34.75518,113.66876', '34.81414,113.54220', 状态0', '16984', '2416'], 'na na']
郑州大酒店-郑州工程技术学院', '34.75518,113.66876', '34.86633,113.65609', 状态0', '17296', '2573'], 'na na']
郑州大酒店-郑州师范学院', '34.75518,113.66876', '34.86471,113.62637', 状态0', '20078', '2554'], 'na na']
郑州大酒店-郑州市体育馆', '34.75518,113.66876', '34.76295,113.67994', 状态0', '1921', '409'], 'na na']
郑州大酒店-郑州市体育场', '34.75518,113.66876', '34.76295,113.67994', 状态0', '1921', '409'], 'na na']
郑州大酒店-华北水利水电大学', '34.75518,113.66876', '34.77593,113.76580', 状态0', '11656', '1739'], 'na na']
郑州大酒店-北龙湖', '34.75518,113.66876', '34.81829,113.74043', 状态0', '14439', '2003'], 'na na']
郑州大酒店-郑州奥体中心体育馆', '34.75518,113.66876', '34.73476,113.54065', 状态0', '17889', '1328'], 'na na']
建国饭店-河南工业大学', '34.76999,113.66034', '34.83330,113.55796', 状态0', '15496', '1812'], 'na na']
建国饭店-郑州大学', '34.76999,113.66034', '34.81414,113.54220', 状态0', '15257', '1725'], 'na na']
建国饭店-郑州工程技术学院', '34.76999,113.66034', '34.86633,113.65609', 状态0', '16922', '2406'], 'na na']
