设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['正方元锦江国际饭店-河南工业大学', '正方元锦江国际饭店', '河南工业大学', '34.76551,113.75021', '34.83330,113.55796', '状态201 break break', 'na na']
设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['正方元锦江国际饭店-河南工业大学', '正方元锦江国际饭店', '河南工业大学', '34.76551,113.75021', '34.83330,113.55796', ('状态0', '24267', '2143'), 'na na']
['正方元锦江国际饭店-郑州大学', '正方元锦江国际饭店', '郑州大学', '34.76551,113.75021', '34.81414,113.54220', ('状态0', '24028', '2068'), 'na na']
['正方元锦江国际饭店-郑州工程技术学院', '正方元锦江国际饭店', '郑州工程技术学院', '34.76551,113.75021', '34.86633,113.65609', ('状态0', '19195', '1939'), 'na na']
['正方元锦江国际饭店-郑州师范学院', '正方元锦江国际饭店', '郑州师范学院', '34.76551,113.75021', '34.86471,113.62637', ('状态0', '21586', '2229'), 'na na']
['正方元锦江国际饭店-郑州市体育馆', '正方元锦江国际饭店', '郑州市体育馆', '34.76551,113.75021', '34.76295,113.67994', ('状态0', '8397', '1176'), 'na na']
['正方元锦江国际饭店-郑州市体育场', '正方元锦江国际饭店', '郑州市体育场', '34.76551,113.75021', '34.76295,113.67994', ('状态0', '8397', '1176'), 'na na']
['正方元锦江国际饭店-华北水利水电大学', '正方元锦江国际饭店', '华北水利水电大学', '34.76551,113.75021', '34.77593,113.76580', ('状态0', '3570', '526'), 'na na']
['正方元锦江国际饭店-北龙湖', '正方元锦江国际饭店', '北龙湖', '34.76551,113.75021', '34.81829,113.74043', ('状态0', '8354', '1276'), 'na na']
['正方元锦江国际饭店-郑州奥体中心体育馆', '正方元锦江国际饭店', '郑州奥体中心体育馆', '34.76551,113.75021', '34.73476,113.54065', ('状态0', '25243', '2091'), 'na na']
['郑州大酒店-河南工业大学', '郑州大酒店', '河南工业大学', '34.75518,113.66876', '34.83330,113.55796', ('状态0', '17223', '2608'), 'na na']
['郑州大酒店-郑州大学', '郑州大酒店', '郑州大学', '34.75518,113.66876', '34.81414,113.54220', ('状态0', '16984', '2533'), 'na na']
['郑州大酒店-郑州工程技术学院', '郑州大酒店', '郑州工程技术学院', '34.75518,113.66876', '34.86633,113.65609', ('状态0', '17296', '2615'), 'na na']
['郑州大酒店-郑州师范学院', '郑州大酒店', '郑州师范学院', '34.75518,113.66876', '34.86471,113.62637', ('状态0', '15516', '2545'), 'na na']
['郑州大酒店-郑州市体育馆', '郑州大酒店', '郑州市体育馆', '34.75518,113.66876', '34.76295,113.67994', ('状态0', '1921', '501'), 'na na']
['郑州大酒店-郑州市体育场', '郑州大酒店', '郑州市体育场', '34.75518,113.66876', '34.76295,113.67994', ('状态0', '1921', '501'), 'na na']
